,wikidata,bathwateridentifier,status,eionet,euType,euMotive,NotEuMotive,link,WD
35,Q106707095,SE0441272000000300,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441272000000300,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441272000000300'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707095'>link WD</a>
38,Q106707093,SE0441272000000299,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441272000000299,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441272000000299'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707093'>link WD</a>
39,Q106707096,SE0441272000000301,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441272000000301,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441272000000301'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707096'>link WD</a>
40,Q106707099,SE0441264000000306,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441264000000306,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441264000000306'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707099'>link WD</a>
42,Q106707100,SE0441264000000308,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441264000000308,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441264000000308'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707100'>link WD</a>
43,Q106707102,SE0441283000000311,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441283000000311,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441283000000311'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707102'>link WD</a>
44,Q106707101,SE0441283000000310,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441283000000310,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441283000000310'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707101'>link WD</a>
46,Q106707114,SE0441283000000314,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441283000000314,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441283000000314'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707114'>link WD</a>
47,Q106707113,SE0441283000000313,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441283000000313,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441283000000313'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707113'>link WD</a>
49,Q106707119,SE0441283000000319,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441283000000319,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441283000000319'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707119'>link WD</a>
50,Q106707117,SE0441283000000317,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441283000000317,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441283000000317'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707117'>link WD</a>
52,Q106707118,SE0441283000000318,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441283000000318,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441283000000318'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707118'>link WD</a>
53,Q106707122,SE0441262000000324,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441262000000324,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441262000000324'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707122'>link WD</a>
54,Q106707121,SE0441262000000321,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441262000000321,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441262000000321'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707121'>link WD</a>
55,Q106707123,SE0441262000000325,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441262000000325,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441262000000325'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707123'>link WD</a>
56,Q106707126,SE0441291000000328,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441291000000328,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441291000000328'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707126'>link WD</a>
57,Q106707127,SE0441291000000329,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441291000000329,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441291000000329'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707127'>link WD</a>
58,Q106707125,SE0441291000000327,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441291000000327,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441291000000327'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707125'>link WD</a>
59,Q106707128,SE0441291000000330,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441291000000330,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441291000000330'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707128'>link WD</a>
60,Q106707130,SE0441291000000332,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441291000000332,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441291000000332'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707130'>link WD</a>
61,Q106707131,SE0441292000000334,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441292000000334,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441292000000334'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707131'>link WD</a>
62,Q106707124,SE0441262000000326,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441262000000326,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441262000000326'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707124'>link WD</a>
63,Q106707134,SE0441292000000339,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441292000000339,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441292000000339'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707134'>link WD</a>
66,Q106707129,SE0441291000000331,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441291000000331,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441291000000331'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707129'>link WD</a>
69,Q106707142,SE0441286000000349,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441286000000349,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441286000000349'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707142'>link WD</a>
70,Q106707140,SE0441286000000347,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441286000000347,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441286000000347'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707140'>link WD</a>
71,Q106707139,SE0441286000000345,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441286000000345,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441286000000345'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707139'>link WD</a>
72,Q106707143,SE0441286000000350,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441286000000350,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441286000000350'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707143'>link WD</a>
74,Q106707141,SE0441286000000348,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441286000000348,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441286000000348'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707141'>link WD</a>
