,wikidata,coord,osmid
722,Q106654403,,
723,Q106708525,,
724,Q106707793,,
725,Q106709691,,
726,Q106712064,,
728,Q106709082,,
731,Q106708720,,
733,Q106707736,,
736,Q106707697,,
737,Q106691589,,
738,Q106711054,,
740,Q106707848,,
745,Q106706936,,
746,Q106708578,,
748,Q106712324,,
749,Q106709490,,
750,Q106707948,,
753,Q106709956,,
755,Q107022440,,
757,Q106709492,,
761,Q106858112,,
762,Q106706954,,
765,Q106712276,,
767,Q106709128,,
768,Q106712258,,
769,Q106709339,,
770,Q106710168,,
772,Q10546597,,
775,Q106709083,,
776,Q106672373,,
778,Q106712275,,
780,Q106707705,,
782,Q106707058,,
785,Q106709761,,
786,Q106709945,,
787,Q106707955,,
788,Q106712047,,
789,Q106672025,,
794,Q106708069,,
795,Q106708938,,
797,Q106712016,,
798,Q106709277,,
805,Q106708767,,
806,Q106712167,,
809,Q106975405,,
811,Q106708931,,
812,Q106670458,,
814,Q106816431,,
815,Q106708653,,
824,Q106672775,,
830,Q106706992,,
835,Q106708450,,
836,Q106966624,,
838,Q106707753,,
839,Q106707754,,
840,Q106708204,,
841,Q106709723,,
843,Q106947945,,
844,Q106710677,,
847,Q106706968,,
848,Q106707041,,
849,Q106707156,,
852,Q106708081,,
853,Q106708219,,
856,Q106711873,,
857,Q106709175,,
863,Q106711887,,
867,Q106709279,,
869,Q106709494,,
870,Q106695584,,
877,Q106687655,,
884,Q106707627,,
885,Q106707740,,
887,Q106709011,,
888,Q106653196,,
889,Q106653196,,
893,Q106708659,,
895,Q106709534,,
897,Q106707144,,
900,Q106709969,,
901,Q106709112,,
903,Q106708714,,
905,Q106711627,,
912,Q106708947,,
913,Q106708652,,
914,Q106707137,,
915,Q106708635,,
917,Q106709404,,
918,Q106669964,,
922,Q106708688,,
923,Q106706932,,
925,Q106709984,,
926,Q106707124,,
927,Q106707124,,
929,Q106709765,,
930,Q106709495,,
935,Q106654394,,
941,Q106708883,,
943,Q106708485,,
944,Q106712277,,
945,Q106707122,,
946,Q106707122,,
947,Q106707645,,
948,Q106707043,,
954,Q106709496,,
955,Q106710463,,
957,Q106664498,,
959,Q106709059,,
962,Q106709958,,
964,Q106707139,,
966,Q106710780,,
970,Q106708771,,
971,Q106708628,,
972,Q106711342,,
973,Q106712013,,
974,Q56301944,,
978,Q106709498,,
980,Q106707135,,
981,Q106707015,,
983,Q106709186,,
985,Q106712317,,
988,Q106708722,,
991,Q106707525,,
995,Q106708775,,
1000,Q106710020,,
1005,Q106708624,,
1006,Q106711305,,
1008,Q106708622,,
1009,Q106709412,,
1013,Q106707509,,
1016,Q106967058,,
1017,Q106708904,,
1019,Q106708046,,
1020,Q106709788,,
1027,Q106711865,,
1028,Q106988412,,
1029,Q106672594,,
1030,Q106709178,,
1031,Q106672570,,
1032,Q106707801,,
1035,Q10593146,,
1036,Q106708723,,
1037,Q106676995,,
1043,Q106709985,,
1049,Q106708950,,
1053,Q106705894,,
1055,Q106711355,,
1059,Q106708202,,
1064,Q106676198,,
1070,Q106708765,,
1071,Q106712123,,
1075,Q106711126,,
1076,Q106709010,,
1077,Q106845474,,
1079,Q106766151,,
1082,Q106707502,,
1085,Q106709506,,
1090,Q107092188,,
1091,Q106709264,,
1092,Q106709087,,
1095,Q106702298,,
1097,Q106670485,,
1098,Q106707140,,
1099,Q106709378,,
1102,Q106707781,,
1105,Q106711009,,
1110,Q106708052,,
1113,Q106708867,,
1114,Q106709181,,
1118,Q106709508,,
1123,Q106708217,,
1124,Q106708636,,
1125,Q106708318,,
1127,Q106708774,,
1128,Q106709068,,
1132,Q106707075,,
1133,Q106708886,,
1134,Q106653320,,
1135,Q106653320,,
1136,Q106709511,,
1143,Q106710688,,
1145,Q106710183,,
1147,Q106708872,,
1150,Q106707069,,
1151,Q106707510,,
1152,Q106707698,,
1154,Q106708632,,
1156,Q106712270,,
1157,Q106709269,,
1159,Q106709513,,
1160,Q106706970,,
1161,Q106710504,,
1162,Q106702291,,
1163,Q106708560,,
1166,Q106708592,,
1169,Q106711760,,
1171,Q106707115,,
1173,Q107169469,,
1179,Q106708893,,
1180,Q10649652,,
1185,Q106689653,,
1187,Q106711715,,
1188,Q106707155,,
1189,Q106706944,,
1190,Q106670417,,
1196,Q106712319,,
1199,Q10657715,,
1200,Q107203637,,
1202,Q106712119,,
1205,Q106712302,,
1206,Q106708529,,
1208,Q106709081,,
1209,Q106708980,,
1211,Q106960645,,
1213,Q107168875,,
1214,Q107168960,,
1217,Q106707131,,
1218,Q106708374,,
1221,Q106653524,,
1222,Q106707646,,
1224,Q106708742,,
1225,Q106707009,,
1226,Q106707649,,
1227,Q106707710,,
1231,Q106707129,,
1235,Q106711061,,
1236,Q106709025,,
1237,Q106816360,,
1239,Q106707640,,
1240,Q106687636,,
1241,Q106707142,,
1250,Q106710471,,
1251,Q106707858,,
1254,Q2220749,,
1257,Q106654517,,
1259,Q106707940,,
1264,Q106709783,,
1267,Q106655032,,
1268,Q106709094,,
1270,Q106708964,,
1271,Q106676180,,
1272,Q106708008,,
1275,Q106708678,,
1276,Q106708502,,
1281,Q106708780,,
1286,Q106709095,,
1290,Q106712294,,
1291,Q10662424,,
1294,Q106712005,,
1295,Q106706974,,
1303,Q106653377,,
1305,Q106708221,,
1306,Q106669938,,
1310,Q106709572,,
1311,Q106709069,,
1312,Q106711979,,
1315,Q106712274,,
1316,Q106709514,,
1318,Q106710409,,
1320,Q106707703,,
1322,Q106708461,,
1323,Q106707063,,
1328,Q106706787,,
1331,Q106709118,,
1334,Q106709515,,
1335,Q106707706,,
1337,Q106708699,,
1338,Q106707966,,
1339,Q106707014,,
1341,Q106706934,,
1343,Q106711390,,
1347,Q106707527,,
1348,Q106707954,,
1349,Q106708319,,
1350,Q106708048,,
1351,Q106707136,,
1353,Q106709517,,
1355,Q106709519,,
1356,Q106709521,,
1357,Q106709714,,
1363,Q106677606,,
1364,Q106711413,,
1365,Q106677565,,
1367,Q106710187,,
1368,Q106706976,,
1371,Q106708965,,
1372,Q106711722,,
1373,Q106711008,,
1376,Q106708526,,
1378,Q106708891,,
1381,Q106702268,,
1382,Q106709104,,
1383,Q106712108,,
1384,Q106707715,,
1385,Q106707526,,
1386,Q106712077,,
1392,Q106656200,,
1393,Q106671870,,
1395,Q106657251,,
1397,Q106816565,,
1402,Q106708724,,
1403,Q106708724,,
1404,Q106677211,,
1406,Q106707007,,
1410,Q106709929,,
1411,Q26253111,,
1413,Q106654887,,
1418,Q106712272,,
1422,Q106677011,,
1424,Q106711957,,
1425,Q106708110,,
1427,Q106711359,,
1428,Q106708870,,
1432,Q10678411,,
1434,Q106687473,,
1436,Q106712283,,
1442,Q106707867,,
1444,Q106678832,,
1451,Q106707861,,
1452,Q106707052,,
1453,Q106707010,,
1454,Q106653616,,
1456,Q106707648,,
1457,Q106707628,,
1462,Q106706972,,
1463,Q106712140,,
1464,Q106707163,,
1470,Q106709096,,
1472,Q106709275,,
1474,Q106709381,,
1476,Q106656340,,
1478,Q106709721,,
1480,Q106710506,,
1481,Q106712006,,
1483,Q106673492,,
1485,Q106702250,,
1486,Q106702279,,
1487,Q106711652,,
1488,Q106673720,,
1489,Q106712304,,
1492,Q106709700,,
1494,Q106709283,,
1503,Q106678770,,
1511,Q106709149,,
1512,Q106710181,,
1514,Q21044846,,
1515,Q21044846,,
1516,Q106670434,,
1518,Q106708649,,
1519,Q106710209,,
1520,Q106677306,,
1521,Q106709166,,
1522,Q106708650,,
1523,Q106708218,,
1528,Q106708010,,
1530,Q106677028,,
1531,Q106710441,,
1532,Q106707143,,
1533,Q106711380,,
1537,Q10684770,,
1538,Q106814787,,
1540,Q106712066,,
1542,Q106709097,,
1547,Q106708191,,
1548,Q106687167,,
1550,Q106708725,,
1551,Q106709408,,
1552,Q106708595,,
1553,Q106711352,,
1554,Q106672400,,
1556,Q106708222,,
1557,Q106710798,,
1560,Q106654701,,
1563,Q106711939,,
1566,Q106687137,,
1571,Q106707846,,
1572,Q106708661,,
1575,Q106962860,,
1576,Q106709699,,
1577,Q106712198,,
1578,Q106709526,,
1581,Q106857935,,
1583,Q106956652,,
1588,Q106708313,,
1591,Q106706996,,
1593,Q106653712,,
1596,Q106708223,,
1598,Q106712303,,
1599,Q106711754,,
1600,Q106656179,,
1603,Q106708510,,
1604,Q10698978,,
1605,Q106707869,,
1607,Q26197228,,
1608,Q106669776,,
1612,Q106712127,,
1619,Q106709367,,
1620,Q106676547,,
1623,Q106708591,,
1625,Q106708596,,
1628,Q106707054,,
1630,Q106707704,,
1636,Q56300676,,
1640,Q106669765,,
1647,Q106920628,,
1648,Q106708777,,
1649,Q106707708,,
1650,Q106709204,,
1651,Q106707957,,
1653,Q106711298,,
1655,Q106676711,,
1656,Q49325087,,
1657,Q106712012,,
1659,Q106709377,,
1663,Q106708598,,
1665,Q106711651,,
1666,Q106709527,,
1668,Q106708022,,
1671,Q106704485,,
1674,Q106709529,,
1676,Q104809094,,
1680,Q106707120,,
1682,Q106709270,,
1683,Q106707702,,
1686,Q106676563,,
1691,Q10712818,,
1694,Q106711945,,
1695,Q106816470,,
1699,Q106707133,,
1701,Q106672431,,
1702,Q106707523,,
1705,Q106709530,,
1706,Q106710507,,
1707,Q106712041,,
1713,Q106706955,,
1715,Q106711989,,
1716,Q106711357,,
1718,Q106712233,,
1719,Q106709400,,
1725,Q106656080,,
1729,Q106707083,,
1730,Q106709561,,
1732,Q107015183,,
1734,Q106710443,,
1736,Q106708600,,
1738,Q106707711,,
1739,Q106712124,,
1740,Q106656413,,
1744,Q106712169,,
1745,Q106669891,,
1748,Q106654162,,
1749,Q106709090,,
1750,Q106709086,,
1752,Q106709532,,
1755,Q106709201,,
1756,Q106709942,,
1759,Q106708939,,
1761,Q106706951,,
1763,Q106711997,,
1764,Q106712101,,
1765,Q106709278,,
1768,Q106708952,,
1771,Q106671656,,
1772,Q106671656,,
1777,Q106712110,,
1780,Q106712323,,
1782,Q106708076,,
1784,Q106707720,,
1785,Q106708195,,
1786,Q106709380,,
1787,Q106708972,,
1788,Q106711093,,
1789,Q106707186,,
1790,Q106708433,,
1791,Q106707809,,
1792,Q106708310,,
1793,Q106711944,,
1794,Q106708399,,
1795,Q106709133,,
1796,Q106708378,,
1797,Q106711719,,
1798,Q106709006,,
1799,Q106709401,,
1800,Q106707086,,
1801,Q106707159,,
1802,Q106710487,,
1803,Q106711961,,
1804,Q106712148,,
1805,Q106709331,,
1806,Q106712015,,
1807,Q106708787,,
1808,Q106711350,,
1809,Q106710776,,
1810,Q106711889,,
1811,Q106707183,,
1812,Q106712062,,
1813,Q106712008,,
1814,Q106708752,,
1815,Q106708449,,
1816,Q106709123,,
1817,Q106709368,,
1818,Q106711970,,
1819,Q106710459,,
1820,Q106708211,,
1821,Q106708059,,
1822,Q106711853,,
1823,Q106709387,,
1824,Q106708812,,
1825,Q106712131,,
1826,Q106708890,,
1827,Q106712000,,
1828,Q106708889,,
1829,Q106708861,,
1830,Q106710497,,
1831,Q106707089,,
1832,Q106709356,,
1833,Q106709246,,
1834,Q106711721,,
1835,Q106712134,,
1836,Q106711084,,
1837,Q106707024,,
1838,Q106707776,,
1839,Q106711418,,
1840,Q106709712,,
1841,Q106708322,,
1842,Q106711043,,
1843,Q106709684,,
1844,Q106709177,,
1845,Q106708468,,
1846,Q106709141,,
1847,Q106708331,,
1848,Q106708060,,
1849,Q106708214,,
1850,Q106710461,,
1851,Q106709398,,
1852,Q106710175,,
1853,Q106708012,,
1854,Q106709058,,
1855,Q106712046,,
1856,Q106711963,,
1857,Q106709210,,
1858,Q106708326,,
1860,Q106712132,,
1861,Q106709001,,
1862,Q106708212,,
1863,Q106708973,,
1864,Q106711874,,
1865,Q106711676,,
1866,Q106708970,,
1867,Q106709266,,
1868,Q106708849,,
1869,Q106708216,,
1870,Q106711918,,
1871,Q106708457,,
1872,Q106707775,,
1873,Q106707803,,
1875,Q106708556,,
1876,Q106709291,,
1877,Q106708813,,
1878,Q106712040,,
1879,Q106707032,,
1881,Q106709028,,
1882,Q106710034,,
1883,Q106708436,,
1884,Q106711647,,
1885,Q106707798,,
1886,Q106708437,,
1887,Q106711656,,
1888,Q106710214,,
1889,Q106710231,,
1890,Q106709391,,
1891,Q106709130,,
1892,Q106707642,,
1893,Q106708168,,
1894,Q106711922,,
1895,Q106711296,,
1896,Q106708079,,
1897,Q106711089,,
1898,Q106708888,,
1899,Q106707984,,
1900,Q106707985,,
1901,Q106708834,,
1902,Q106706997,,
1903,Q106707990,,
1904,Q106707991,,
1905,Q106708753,,
1906,Q106708321,,
1907,Q106708438,,
1908,Q106708490,,
1909,Q106709342,,
1910,Q106708990,,
1911,Q106711980,,
1912,Q106711657,,
1913,Q106712203,,
1914,Q106712201,,
1915,Q106708227,,
1916,Q106708807,,
1917,Q106710233,,
1918,Q106712075,,
1919,Q106707160,,
1920,Q106710173,,
1921,Q106707988,,
1922,Q106712171,,
1923,Q106707540,,
1924,Q106709337,,
1925,Q106709324,,
1926,Q106709111,,
1927,Q106670562,,
1928,Q106709341,,
1929,Q106709320,,
1930,Q106708845,,
1931,Q106707538,,
1932,Q106708391,,
1933,Q106707800,,
1934,Q106711416,,
1935,Q106708299,,
1936,Q106709329,,
1937,Q106711927,,
1938,Q106708470,,
1939,Q106708517,,
1940,Q106712035,,
1941,Q106709251,,
1942,Q106709344,,
1943,Q106708193,,
1944,Q106708075,,
1945,Q106708014,,
1946,Q106708129,,
1947,Q106708477,,
1948,Q106708466,,
1949,Q106708465,,
1950,Q106708456,,
1951,Q106707796,,
1952,Q106707118,,
1953,Q106708288,,
1954,Q106708535,,
1955,Q106707725,,
1956,Q106711864,,
1957,Q106708975,,
1958,Q106709120,,
1959,Q106708122,,
1960,Q106711929,,
1961,Q106708044,,
1962,Q106707727,,
1963,Q106709567,,
1964,Q106708073,,
1965,Q106707989,,
1966,Q106711097,,
1967,Q106709063,,
1968,Q106708407,,
1969,Q106711685,,
1970,Q106708049,,
1971,Q106711620,,
1973,Q106707097,,
1974,Q106707765,,
1975,Q106708639,,
1976,Q106711687,,
1977,Q106708015,,
1978,Q106711987,,
1979,Q106712067,,
1980,Q106711861,,
1981,Q106709327,,
1982,Q106707033,,
1983,Q106708462,,
1984,Q106711941,,
1985,Q106708856,,
1986,Q106708761,,
1987,Q106708135,,
1988,Q106707613,,
1989,Q106707614,,
1990,Q106709240,,
1991,Q106709694,,
1992,Q106708976,,
1993,Q106708370,,
1994,Q106711786,,
1995,Q106709198,,
1996,Q106711693,,
1997,Q106711691,,
1998,Q106707768,,
1999,Q106711119,,
2000,Q106711124,,
2001,Q106708803,,
2002,Q106709019,,
2003,Q106707976,,
2004,Q106707085,,
2005,Q106709705,,
2006,Q106708563,,
2007,Q106708565,,
2008,Q106706965,,
2009,Q106708506,,
2010,Q106709076,,
2011,Q106707770,,
2012,Q106707090,,
2013,Q106707091,,
2014,Q106707092,,
2015,Q106707096,,
2016,Q106710448,,
2017,Q106708440,,
2018,Q106709353,,
2019,Q106708416,,
2020,Q106707026,,
2021,Q106711455,,
2022,Q106712045,,
2023,Q106711996,,
2024,Q106711888,,
2025,Q106708558,,
2026,Q106707114,,
2027,Q106707516,,
2028,Q106708131,,
2029,Q106711678,,
2030,Q106708743,,
2031,Q106710016,,
2032,Q106708623,,
2033,Q106711901,,
2034,Q106707027,,
2035,Q106707003,,
2036,Q106710446,,
2037,Q106707774,,
2038,Q106709993,,
2039,Q106709029,,
2040,Q106710435,,
2041,Q106708236,,
2042,Q106709168,,
2043,Q106709054,,
2044,Q106708854,,
2045,Q106708138,,
2046,Q106708794,,
2047,Q106707799,,
2048,Q106707758,,
2049,Q106708130,,
2050,Q106711895,,
2051,Q106708471,,
2052,Q106709336,,
2053,Q106711914,,
2054,Q106710235,,
2055,Q106709187,,
2056,Q106710206,,
2057,Q106708862,,
2058,Q106709147,,
2059,Q106711041,,
2060,Q106710783,,
2061,Q106708157,,
2062,Q106710454,,
2063,Q106709022,,
2064,Q106708643,,
2065,Q106708441,,
2066,Q106707600,,
2067,Q106707028,,
2068,Q106711310,,
2069,Q106707006,,
2070,Q106709352,,
2071,Q106709328,,
2072,Q106710431,,
2073,Q106709191,,
2074,Q106712096,,
2075,Q106709332,,
2076,Q106710773,,
2077,Q106708139,,
2078,Q106711682,,
2079,Q106710164,,
2080,Q106708910,,
2081,Q106711934,,
2082,Q106707828,,
2083,Q106707759,,
2084,Q106708325,,
2085,Q106709476,,
2086,Q106708750,,
2087,Q106710148,,
2088,Q106708997,,
2089,Q106707778,,
2090,Q106711900,,
2091,Q106711338,,
2092,Q106709385,,
2093,Q106711347,,
2094,Q106708128,,
2095,Q106712196,,
2096,Q106711902,,
2097,Q106711631,,
