,wikidata,coord,osmid
2328,Q106708330,,
2329,Q106707141,,
2330,Q106712112,,
2331,Q106711975,,
2332,Q106711386,,
2333,Q106708995,,
2334,Q106708994,,
2335,Q106708996,,
2336,Q106708907,,
2337,Q106707601,,
2338,Q106708930,,
2339,Q106708788,,
2340,Q106708821,,
2341,Q106709126,,
2342,Q106709127,,
2343,Q106707112,,
2344,Q106707113,,
2345,Q106707036,,
2346,Q106707536,,
2348,Q106710782,,
2349,Q106709323,,
2350,Q106710165,,
2351,Q106706960,,
2352,Q106711683,,
2353,Q106708520,,
2354,Q106711917,,
2356,Q106712085,,
2357,Q106708140,,
2358,Q106708320,,
2359,Q106708827,,
2360,Q106708360,,
2361,Q106712003,,
2362,Q106708464,,
2363,Q106711862,,
2364,Q106710150,,
2365,Q106707071,,
2366,Q106712128,,
2367,Q106708024,,
2368,Q106707766,,
2369,Q106708375,,
2370,Q106707000,,
2371,Q106707021,,
2372,Q106707022,,
2373,Q106710670,,
2374,Q106709402,,
2375,Q106708127,,
2376,Q106709355,,
2377,Q106710466,,
2378,Q106708863,,
2379,Q106708974,,
2380,Q106709577,,
2381,Q106711883,,
2382,Q106708851,,
2383,Q106708016,,
2384,Q106709348,,
2385,Q106710469,,
2386,Q106707148,,
2387,Q106708488,,
2388,Q106710969,,
2389,Q106709057,,
2390,Q106707722,,
2391,Q106712149,,
2392,Q106708625,,
2393,Q106710199,,
2394,Q106708966,,
2395,Q106707935,,
2396,Q106707934,,
2398,Q106707839,,
2399,Q106709188,,
2400,Q106709281,,
2401,Q106709315,,
2402,Q106707987,,
2403,Q106711622,,
2404,Q106707967,,
2405,Q106708142,,
2406,Q106708955,,
2407,Q106708298,,
2408,Q106711904,,
2409,Q106707854,,
2410,Q106711936,,
2412,Q106707856,,
2413,Q106707756,,
2414,Q106711905,,
2415,Q106707149,,
2416,Q106708841,,
2417,Q106709197,,
2418,Q106708056,,
2419,Q106708017,,
2420,Q106708410,,
2421,Q106712007,,
2422,Q106710785,,
2423,Q106710483,,
2425,Q106708838,,
2426,Q106707535,,
2427,Q106709959,,
2429,Q106708446,,
2430,Q106708572,,
2431,Q106708573,,
2432,Q106708447,,
2434,Q106710479,,
2435,Q106708784,,
2436,Q106708783,,
2437,Q106707975,,
2439,Q106707840,,
2440,Q106707513,,
2441,Q106708574,,
2442,Q106711885,,
2443,Q106707829,,
2444,Q106710008,,
2445,Q106707152,,
2446,Q106707916,,
2447,Q106708290,,
2448,Q106708638,,
2449,Q106708134,,
2450,Q106709394,,
2451,Q106708751,,
2452,Q106709053,,
2453,Q106710492,,
2454,Q106708475,,
2455,Q106708072,,
2456,Q106708439,,
2457,Q106710242,,
2458,Q106708113,,
2459,Q106708782,,
2460,Q106707853,,
2461,Q106708051,,
2462,Q106708435,,
2463,Q106708843,,
2464,Q106708844,,
2465,Q106709364,,
2466,Q106709326,,
2467,Q106710176,,
2468,Q106711999,,
2469,Q106708213,,
2470,Q106708356,,
2471,Q106709285,,
2472,Q106708855,,
2473,Q106707615,,
2474,Q106707855,,
2475,Q106711451,,
2476,Q106708826,,
2477,Q106710748,,
2478,Q106709288,,
2479,Q106707067,,
2480,Q106709073,,
2481,Q106709286,,
2482,Q106712322,,
2483,Q106709557,,
2484,Q106712099,,
2485,Q106708680,,
2486,Q106708681,,
2488,Q106706998,,
2489,Q106708999,,
2490,Q106709020,,
2491,Q106708369,,
2492,Q106712095,,
2493,Q106709383,,
2494,Q106677623,,
2495,Q106707008,,
2496,Q106707053,,
2497,Q106710152,,
2498,Q106708301,,
2499,Q106711972,,
2500,Q106711859,,
2501,Q106708133,,
2502,Q106708836,,
2503,Q106708758,,
2504,Q106708463,,
2505,Q106707531,,
2506,Q106708050,,
2507,Q106708711,,
2508,Q106708559,,
2509,Q106709052,,
2510,Q106711855,,
2511,Q106708364,,
2512,Q106708173,,
2513,Q106708759,,
2514,Q106708287,,
2515,Q106708411,,
2516,Q106708282,,
2517,Q106709080,,
2518,Q106711863,,
2519,Q106707180,,
2520,Q106710032,,
2521,Q106708474,,
2522,Q106708161,,
2523,Q106711899,,
2524,Q106709026,,
2525,Q106708571,,
2526,Q106709318,,
2527,Q106708057,,
2528,Q106710154,,
2529,Q106710973,,
2530,Q106708769,,
2531,Q106709122,,
2533,Q106710747,,
2534,Q106709966,,
2535,Q106707838,,
2536,Q106709241,,
2537,Q106710745,,
2538,Q106709466,,
2539,Q106709464,,
2540,Q106711897,,
2541,Q106709390,,
2542,Q106708000,,
2543,Q106712147,,
2544,Q106707965,,
2545,Q106707998,,
2546,Q106707995,,
2547,Q106707997,,
2548,Q106710200,,
2549,Q106708317,,
2550,Q106709265,,
2551,Q106708745,,
2552,Q106709116,,
2553,Q106709245,,
2554,Q106707184,,
2555,Q106707161,,
2556,Q106708521,,
2557,Q106708853,,
2558,Q106708165,,
2559,Q106709358,,
2560,Q106710490,,
2561,Q106710485,,
2562,Q106708114,,
2563,Q106711973,,
2564,Q106711915,,
2565,Q106707158,,
2566,Q106707794,,
2567,Q106711912,,
2568,Q106707769,,
2569,Q106710243,,
2570,Q106708432,,
2571,Q106708078,,
2572,Q106710170,,
2573,Q106708519,,
2574,Q106707182,,
2575,Q106708346,,
2576,Q106711923,,
2577,Q106707807,,
2578,Q106707088,,
2579,Q106707087,,
2580,Q106708144,,
2581,Q106711919,,
2582,Q106707779,,
2583,Q106707981,,
2584,Q106708511,,
2585,Q106708351,,
2586,Q106711751,,
2587,Q106712043,,
2588,Q106707830,,
2589,Q106708063,,
2590,Q106710155,,
2591,Q106708358,,
2592,Q106710977,,
2593,Q106711756,,
2594,Q106707643,,
2595,Q106708064,,
2596,Q106710157,,
2597,Q106707147,,
2598,Q106709317,,
2599,Q106708848,,
2600,Q106708991,,
2602,Q106712205,,
2603,Q106709136,,
2604,Q106707537,,
2605,Q106708304,,
2606,Q106708993,,
2607,Q106711872,,
2608,Q106711644,,
2609,Q106706966,,
2610,Q106710774,,
2611,Q106707837,,
2612,Q106711870,,
2613,Q106707095,,
2614,Q106708641,,
2615,Q106708829,,
2616,Q106710962,,
2617,Q106708224,,
2618,Q106708840,,
2619,Q106710158,,
2620,Q106711725,,
2621,Q106707507,,
2622,Q106708210,,
2623,Q106709144,,
2624,Q106709125,,
2625,Q106708220,,
2626,Q106711985,,
2627,Q106711950,,
2628,Q106710418,,
2629,Q106708071,,
2630,Q106708489,,
2631,Q106708476,,
2632,Q106708329,,
2633,Q106708019,,
2634,Q106707610,,
2635,Q106707611,,
2636,Q106710029,,
2637,Q106711649,,
2638,Q106709202,,
2639,Q106709139,,
2640,Q106707154,,
2641,Q106709242,,
2642,Q106708058,,
2643,Q106709403,,
2644,Q106708762,,
2645,Q106708421,,
2646,Q106710010,,
2647,Q106708968,,
2648,Q106712141,,
2650,Q106711978,,
2651,Q106709172,,
2652,Q106673688,,
2653,Q106708292,,
2654,Q106709319,,
2655,Q106711306,,
2656,Q106710666,,
2657,Q106708801,,
2658,Q106712116,,
2660,Q106710162,,
2661,Q106709021,,
2662,Q106708960,,
2663,Q106708005,,
2664,Q106709399,,
2665,Q106708007,,
2666,Q106711717,,
2667,Q106708043,,
2668,Q106708021,,
2669,Q106708911,,
2670,Q106709134,,
2671,Q106710248,,
2672,Q106709410,,
2673,Q106709409,,
2674,Q106709074,,
2675,Q106710731,,
2676,Q106709190,,
2677,Q106708969,,
2678,Q106708979,,
2679,Q106712009,,
2681,Q106708228,,
2683,Q106708929,,
2684,Q106712037,,
2685,Q106712038,,
2686,Q106708823,,
2687,Q106709349,,
2688,Q106707836,,
2689,Q106708448,,
2690,Q106708311,,
2691,Q106712143,,
2692,Q106708305,,
2693,Q106707994,,
2694,Q106708852,,
2695,Q106709282,,
2696,Q106709250,,
2697,Q106712118,,
2698,Q106708067,,
2699,Q106708309,,
2700,Q106708065,,
2701,Q106708285,,
2702,Q106709105,,
2703,Q106710202,,
2704,Q106712318,,
2705,Q106673465,,
2706,Q106708284,,
2707,Q106709078,,
2708,Q106707505,,
2709,Q106711415,,
2710,Q106711301,,
2711,Q106712034,,
2712,Q106708500,,
2713,Q106710729,,
2714,Q106712106,,
2715,Q106707038,,
2716,Q106711946,,
2717,Q106708514,,
2718,Q106708513,,
2719,Q106711422,,
2720,Q106708229,,
2721,Q106708231,,
2722,Q106708230,,
2723,Q106710964,,
2724,Q106711052,,
2725,Q106711645,,
2727,Q106711707,,
2728,Q106711708,,
2729,Q106708418,,
2730,Q106709108,,
2731,Q106709135,,
2732,Q106708286,,
2733,Q106709347,,
2734,Q106708158,,
2735,Q106707847,,
2736,Q106710486,,
2737,Q106710728,,
2738,Q106708192,,
2739,Q106708118,,
2740,Q106712138,,
2741,Q106708136,,
2742,Q106708756,,
2743,Q106708349,,
2744,Q106711995,,
2745,Q106708977,,
2746,Q106708645,,
2747,Q106709146,,
2748,Q106707771,,
2750,Q106708642,,
2751,Q106709072,,
2752,Q106708132,,
2753,Q106708786,,
2754,Q106708971,,
2755,Q106709032,,
2756,Q106708121,,
2757,Q106708802,,
2758,Q106710412,,
2759,Q106710437,,
2760,Q106710439,,
2761,Q106710407,,
2762,Q106710404,,
2763,Q106709098,,
2764,Q106672817,,
2767,Q107184410,,
2768,Q107184410,,
2769,Q106708610,,
2771,Q106707860,,
2772,Q106708726,,
2775,Q106814682,,
2779,Q106709179,,
2781,Q106707530,,
2782,Q106707724,,
2785,Q106708528,,
2790,Q106707700,,
2792,Q106656608,,
2793,Q106656608,,
2794,Q106709280,,
2798,Q106708495,,
2800,Q106707524,,
2802,Q106709256,,
2803,Q106709930,,
2807,Q106708531,,
2808,Q107168967,,
2810,Q106711893,,
2811,Q106687370,,
2812,Q10727537,,
2814,Q106653304,,
2816,Q18202436,,
2819,Q106707941,,
2820,Q106665592,,
2830,Q106710694,,
