,wikidata,country,bathwateridentifier,status,eionet
724,Q107103733,fi,FI166043001,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.FI166043001
725,Q107103745,fi,FI166060001,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.FI166060001
726,Q107103754,fi,FI166076001,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.FI166076001
727,Q107103773,fr,FRH0229021M029230,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.FRH0229021M029230
728,Q107103809,fr,FRH0229021M029239,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.FRH0229021M029239
729,Q107103840,fr,FRH0229042M029615,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.FRH0229042M029615
730,Q107103848,fr,FRH0229058M029828,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.FRH0229058M029828
731,Q107103868,fr,FRL0583119M083500,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.FRL0583119M083500
732,Q107104252,fr,FRL0583118M083730,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.FRL0583118M083730
733,Q107104293,fr,FRL0306027M006340,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.FRL0306027M006340
734,Q107105246,uk,UK08100,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.UK08100
735,Q107105281,uk,UK25400,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.UK25400
736,Q107105312,uk,UK44300,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.UK44300
737,Q107105383,uk,UKGBNIPA3_20009,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.UKGBNIPA3_20009
738,Q107105408,uk,UKS7616051,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.UKS7616051
739,Q107105804,uk,UKS7616044,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.UKS7616044
740,Q107105815,uk,UKS7616047,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.UKS7616047
